Geo Point,Official Name Municipality
"41.78162000731657, -3.9287281863967918",Olmedillo de Roa
"37.21047473651474, -3.640068947084638",Maracena
"41.89955243662552, 0.16829747598829375",Monzón
"42.22195019045468, 0.9216478775462584",Salàs de Pallars
"40.418877592947595, -3.2481499687368167",Corpa
"41.398892435695146, -3.5656732207982986",Bercimuel
"41.92785504289613, -2.2979382362716763",Castilfrío de la Sierra
"40.800760951171576, -0.8805401746214145",Utrillas
"41.10493522293503, -1.5059034723595062",Orcajo
"41.80388029775971, -3.8267789006506243",Sotillo de la Ribera
"37.3398882800044, -3.1994104025339207",Purullena
"36.93894582208914, -4.674338930518083",Valle de Abdalajís
"42.78177791966249, -1.3586315605198123",Lónguida
"41.582817738207176, -2.643994857721319",Tardelcuende
"41.72720336808855, -4.620465794679951",Cabezón de Pisuerga
"41.95710111383483, -3.2333620229291125",Dehesa de San Felices
"40.4878484441586, -5.1626735376302975",Navacepedilla de Corneja
"38.60111167917672, -0.12023988953438434",la Nucia
"37.3415244824278, -2.180397749653061",Cantoria
"42.26687531967917, -4.336271886162001",Boadilla del Camino
"41.12262229929747, -3.9642473019246154",Caballar
"41.663540779682684, 2.2560712232218094",L'Ametlla del Vallès
"38.399616360688796, -6.476124640989706",Alconera
"42.309097107013095, -4.048425405837537",Hontanas
"42.17918845427558, -3.221355906528338",Riocavado de la Sierra
"41.59138737101328, -3.5834488281337253",Santa Cruz de la Salceda
"40.05828306679756, -6.551847226841583",Calzadilla
"40.11620673355864, -5.837544235358696",Piornal
"39.96609996156616, -6.319041660542764",Alagón del Río
"39.89533191551814, -0.24650486394062968",Artana
"42.15121524319958, 2.5692549877049493",Santa Pau
"37.628889441412596, -2.698033238649724",Benamaurel
"36.950282962687275, -3.464238039330852",Lanjarón
"42.99957346778005, -2.533252411620804",Eskoriatza
"41.9257185965876, -0.18639003340762103",Huerto
"41.543030056705994, 1.1454095544352603",Ciutadilla
"42.22674538659031, -1.6849398101597983",Cadreita
"42.51397758279403, -8.140928028238298",O Irixo
"42.45458063957051, -4.477941905896043",Castrillo de Villavega
"40.65877081496546, -5.774300306217782",Frades de la Sierra
"41.35754888132297, -3.757397476043934",Urueñas
"41.46583650126119, -3.0550536493569185",Villanueva de Gormaz
"40.00191980482052, -3.3303260254552947",Villarrubia de Santiago
"42.00908854788321, -6.598879034775921",Puebla de Sanabria
"42.36721901196432, -1.0171483709691882",Luesia
"38.66358613186952, -6.490784922874154",Aceuchal
"40.832791516878544, -3.2643270409009846",Malaguilla
"40.84277505981076, -2.208228910760776",Olmeda de Cobeta
"41.71975450086006, 0.7869072803021921",Térmens
"40.40488362021639, -3.301008836148975",Valverde de Alcalá
"28.27206557320568, -14.044338999281814",Tuineje
"41.23030215033041, -6.525107069850433",Pereña de la Ribera
"39.09245988755286, -0.7162266247074609",Navarrés
"42.42010509257728, -3.1040480431354736",Viloria de Rioja
"41.94959760039981, 3.171823763346336",Regencós
"42.23971883556358, -5.284379832068679",Izagre
"39.69292604349691, -6.889053370256638",Alcántara
"43.41342480743651, -6.249456607976016",Salas
"38.56847370707208, -6.672365540031721",La Morera
"39.32906892436734, -6.011122503699328",Ruanes
"41.13938807936423, -5.57918311068658",Tardáguila
"40.18296097053628, -1.4016091029203963",Alobras
"41.66235882438914, -4.2835662269234875",Valbuena de Duero
"41.56584801159017, -4.995605702763921",Velilla
"41.647000386156286, 2.221768247283819",Santa Eulàlia de Ronçana
"41.79573235438105, -3.589903651848276",Tubilla del Lago
"40.217889928746466, -5.934792150422481",Segura de Toro
"39.31351216980463, -0.6225141803422102",Real
"41.48266342707189, -1.481479479373786",Chodes
"41.6923512146956, -1.264046160301466",Plasencia de Jalón
"41.9125708547434, 2.1736071486557167",Santa Eulàlia de Riuprimer
"41.655090303753894, -3.9409597838842814",La Cueva de Roa
"39.245505300561874, -3.833902740935983",Fuente el Fresno
"43.29712960024036, -8.814195614811764",Malpica de Bergantiños
"42.190827056256516, -2.595321041401243",Pinillos
"40.76915992211923, -3.561139565960607",El Vellón
"42.81494109147266, -1.6513679431172656",Pamplona
"42.348700834512044, -4.732058004137559",Bustillo del Páramo de Carrión
"28.9351250797452, -13.785132937656758",Yaiza
"40.89299097298418, -5.285305573722476",Nava de Sotrobal
"40.91414690972363, -4.276957256388275",Abades
"41.43548148731578, -3.002434888874797",Recuerda
